u0,u1,u2,u3,x0,x1,x2,x3,v0,v1,z0,p0,s0,m0,m1,t0,y0,f0,c0,c1,c2,c3,c4,c5
0.08880203,-0.3788557,0.005468163,0.04008921,-1.7099575,1.0319095,0.26915503,-0.5518497,-0.079592854,-0.58901674,-1.6769505,0.1574997,0.27836123,-0.15065487,0.56485355,0.0,-0.16575864,0.5654037,-0.079592854,-0.58901674,-1.7099575,1.0319095,0.26915503,-0.5518497
-1.2455084,0.4305621,0.1679678,-0.6482782,-0.60623515,0.42862588,-0.89736235,0.91887164,-1.0596136,0.46977648,-0.6076233,0.35260156,0.7015937,-0.18141958,0.5482473,0.0,-0.16384085,0.5437775,-1.0596136,0.46977648,-0.60623515,0.42862588,-0.89736235,0.91887164
1.2741324,0.534792,-1.0600652,-1.1190628,-0.73451173,0.36251426,-0.60350615,0.46771368,1.078025,0.7927521,-1.3824315,0.20061876,0.31192416,-0.10974919,0.6924194,0.0,-0.10511924,0.710146,1.078025,0.7927521,-0.73451173,0.36251426,-0.60350615,0.46771368
0.15964589,-0.65135664,-0.3724804,-1.5920055,-2.0556817,0.964607,-1.6530908,-0.35109252,-0.10355934,-0.7620657,-6.0736637,0.0022974312,0.095490016,-0.6939318,1.3919055,0.0,-0.69397235,1.3984927,-0.10355934,-0.7620657,-2.0556817,0.964607,-1.6530908,-0.35109252
-0.17811948,0.20687337,0.91753256,-0.9939528,-0.29184982,0.9527931,1.3823307,1.1261795,-0.8968105,-1.148417,2.2893171,0.9079884,0.840653,0.39022338,0.7595551,1.0,0.75580996,0.38546145,-0.8968105,-1.148417,-0.29184982,0.9527931,1.3823307,1.1261795
-0.8826407,-1.3324325,-0.16374342,0.19887109,-1.2602347,1.5605081,1.5673323,1.2611779,-1.3109821,0.44096118,3.2891068,0.9640532,0.9614641,0.11860475,1.3364087,1.0,1.3317059,0.1270113,-1.3109821,0.44096118,-1.2602347,1.5605081,1.5673323,1.2611779
1.0342672,-0.0017465561,0.5188164,0.67341846,-0.6517065,2.686022,1.7432082,1.3729101,0.9784952,-1.2809145,3.2969327,0.96432346,0.85784554,0.92189866,1.7944335,1.0,1.8071623,0.89492583,0.9784952,-1.2809145,-0.6517065,2.686022,1.7432082,1.3729101
0.59714365,1.5287714,0.6695554,-0.2947268,-0.75417364,0.43666035,-0.13648921,0.21540181,0.0293181,-0.95811605,1.8216608,0.8607653,0.34470758,0.28276786,0.506671,1.0,0.52626187,0.28426853,0.0293181,-0.95811605,-0.75417364,0.43666035,-0.13648921,0.21540181
-0.08102951,-2.552673,0.24972712,-0.32435954,0.6468349,0.14551346,-0.86745584,-0.23736833,0.049087245,-1.6516057,-3.2293904,0.038074568,0.3463649,-0.37760136,0.9923339,0.0,-0.35700902,0.98617494,0.049087245,-1.6516057,0.6468349,0.14551346,-0.86745584,-0.23736833
-0.7321017,-1.3553381,1.09303,-0.77819705,-0.5178991,0.71148336,1.6376038,-0.4420452,0.16974637,0.7236304,0.043475546,0.5108672,0.8057538,-0.047932997,0.9780997,0.0,-0.058186542,0.9772413,0.16974637,0.7236304,-0.5178991,0.71148336,1.6376038,-0.4420452
-0.21143721,2.3117177,1.2010031,0.6897982,1.1799505,-0.7373867,-1.713262,-0.44472653,0.6913911,-0.087207384,3.1557698,0.9591355,0.26230982,0.28445715,1.5470057,1.0,1.5542402,0.29652384,0.6913911,-0.087207384,1.1799505,-0.7373867,-1.713262,-0.44472653
0.882796,-1.1079497,0.20067178,0.48900792,0.29552296,-0.27681264,1.1426413,-0.5394983,-0.47594392,1.300301,0.5857872,0.64239794,0.49278042,0.13579741,0.50586575,0.0,0.12163652,0.5031505,-0.47594392,1.300301,0.29552296,-0.27681264,1.1426413,-0.5394983
2.1732392,0.0055214656,-0.089225106,2.4209878,-0.5682886,-0.05403118,0.85173255,0.7074106,-2.0959833,-0.9281513,6.688619,0.9987565,0.79572177,0.68091834,1.5179865,1.0,1.5273985,0.6874292,-2.0959833,-0.9281513,-0.5682886,-0.05403118,0.85173255,0.7074106
0.34287667,-0.8478806,-0.54120064,0.23171683,0.38150853,-0.5762072,-0.3548406,-1.9781989,0.83999306,0.46170676,-3.2878,0.035992097,0.15236127,-0.41777825,0.71247536,0.0,-0.40526208,0.711572,0.83999306,0.46170676,0.38150853,-0.5762072,-0.3548406,-1.9781989
0.079141684,0.5082823,1.3903325,-0.13175507,0.043391716,-0.85023564,0.5364705,1.411362,-1.4174623,0.62352544,2.3953402,0.9164713,0.6652726,0.37337375,0.6524406,1.0,0.65471995,0.37711942,-1.4174623,0.62352544,0.043391716,-0.85023564,0.5364705,1.411362
0.08806955,-0.1242974,-1.3927436,-1.1582074,0.047235373,-0.9656324,0.35948092,2.424377,1.070083,0.6067243,-1.257045,0.22148299,0.76272917,-0.09021477,1.2807366,0.0,-0.09579645,1.2909818,1.070083,0.6067243,0.047235373,-0.9656324,0.35948092,2.424377
-0.7523559,0.6422647,-0.37908685,-1.4508069,0.697123,-0.6289853,-0.73476577,-0.7793594,0.11708403,0.0461953,-3.3334064,0.034442764,0.25598866,-0.42324653,0.6569969,0.0,-0.41949567,0.657148,0.11708403,0.0461953,0.697123,-0.6289853,-0.73476577,-0.7793594
-0.23699322,-0.20573926,0.5373169,0.4745457,-0.6104599,0.42810652,0.035282027,-0.53731436,0.45974866,0.14861165,-0.3322921,0.41768304,0.26712406,-0.014406952,0.1822857,1.0,0.17922764,-0.00827856,0.45974866,0.14861165,-0.6104599,0.42810652,0.035282027,-0.53731436
-0.7869676,-0.093783915,-0.72974914,-1.1368123,0.7687818,0.49621487,0.18089601,0.00891507,-0.09134553,-0.71608514,-1.7180622,0.15212095,0.63833857,-0.16156316,0.41538087,0.0,-0.16121627,0.4210782,-0.09134553,-0.71608514,0.7687818,0.49621487,0.18089601,0.00891507
-1.2392005,2.1275816,0.4953766,0.1275302,0.6964386,0.1730806,-0.7002114,0.3069054,-0.36655223,-0.18422458,1.7003344,0.84557843,0.4534324,0.24843766,0.92791927,1.0,0.9235708,0.26240817,-0.36655223,-0.18422458,0.6964386,0.1730806,-0.7002114,0.3069054
1.1189611,-0.4656441,0.44754994,0.09935088,-1.018549,0.4982543,-0.4703167,-1.2159017,0.10246178,-0.8836064,-1.5509183,0.17495367,0.12022811,-0.12578692,0.583048,0.0,-0.12916525,0.581646,0.10246178,-0.8836064,-1.018549,0.4982543,-0.4703167,-1.2159017
0.6420719,-0.15962563,0.39336118,-0.69448185,-0.5845677,-0.96842086,-0.33198094,0.13050008,1.511208,0.1523497,-2.604086,0.068875924,0.09270484,-0.19664298,0.31019685,1.0,0.29106554,-0.19647866,1.511208,0.1523497,-0.5845677,-0.96842086,-0.33198094,0.13050008
-0.84368396,0.17720434,0.22846445,0.29787293,-0.7236534,-1.3597872,0.8135097,-0.2788398,-0.41717184,-0.11878029,-1.2255092,0.2269684,0.2472931,-0.21111412,0.49954665,0.0,-0.21714666,0.49534094,-0.41717184,-0.11878029,-0.7236534,-1.3597872,0.8135097,-0.2788398
0.29145512,-0.6286916,-0.47251233,0.058475018,-0.032781977,-1.7164072,0.2429102,-0.036010716,0.123520225,-0.74360555,-1.0212828,0.2647776,0.4698727,-0.28669545,0.4642896,0.0,-0.2818298,0.4593045,0.123520225,-0.74360555,-0.032781977,-1.7164072,0.2429102,-0.036010716
1.0513078,1.0694411,-0.7412296,-0.33795244,1.3053156,-0.07714779,0.8533819,-0.93553734,0.46866345,-0.35013124,2.8263447,0.944083,0.82897484,0.2734474,0.7782346,1.0,0.77170587,0.27348423,0.46866345,-0.35013124,1.3053156,-0.07714779,0.8533819,-0.93553734
-1.3808757,-0.6176052,0.33374882,-0.55755186,-0.21562812,1.4160643,-0.5785577,1.0963253,-0.051182766,-0.1036444,-0.639811,0.34528926,0.8122322,-0.06301004,0.7873622,0.0,-0.05073183,0.7881983,-0.051182766,-0.1036444,-0.21562812,1.4160643,-0.5785577,1.0963253
1.2750889,0.59244996,1.6197524,0.5133556,0.4544054,0.45244813,0.17860912,0.10951412,-0.18134387,0.00027957864,5.1133466,0.99402004,0.6640909,0.6494529,0.66488355,1.0,0.67953676,0.6384591,-0.18134387,0.00027957864,0.4544054,0.45244813,0.17860912,0.10951412
-0.30374476,0.16045777,-1.3488747,0.34369713,-0.40753883,0.020885509,0.8195518,-0.29820573,1.0668057,0.15918459,-1.4452118,0.19073957,0.43486956,-0.12672146,0.37283927,0.0,-0.110754736,0.38033202,1.0668057,0.15918459,-0.40753883,0.020885509,0.8195518,-0.29820573
-0.14933863,-1.5358688,-1.3660654,-1.3751469,-0.8034728,0.3889603,0.5683606,0.2808536,0.01700757,0.19261207,-3.9304645,0.019256458,0.6068546,-0.49896473,0.9171412,0.0,-0.48165348,0.91158557,0.01700757,0.19261207,-0.8034728,0.3889603,0.5683606,0.2808536
-3.0794764,-1.2300929,-0.012690419,-1.5709317,-0.60306895,0.99108225,-0.5852666,-1.6521727,1.7872752,0.5552053,-8.270213,0.0002559651,0.16550116,-0.96782714,2.2353048,0.0,-0.9685668,2.241712,1.7872752,0.5552053,-0.60306895,0.99108225,-0.5852666,-1.6521727
-1.3386022,0.026978144,1.463152,-0.6315804,0.8143246,-0.8457167,0.9415474,-0.30238232,-0.48006684,1.9766834,-1.9349238,0.12620659,0.30254504,0.01596508,0.8360749,0.0,0.006688792,0.8395069,-0.48006684,1.9766834,0.8143246,-0.8457167,0.9415474,-0.30238232
-0.37134212,1.470852,-0.066599935,-0.3470826,1.6529691,-1.1842899,-0.09832516,-1.4802368,-0.09834783,-0.3523928,-0.16928604,0.45777926,0.5206036,-0.053006914,1.0952276,1.0,1.1063011,-0.04883627,-0.09834783,-0.3523928,1.6529691,-1.1842899,-0.09832516,-1.4802368
-1.3301622,0.19856884,0.20895943,1.0550977,-0.9596683,-0.19034384,-1.0322474,-1.5778887,-0.20322563,0.6552079,-3.5573702,0.027723223,0.08176877,-0.45346057,0.93476474,0.0,-0.4459687,0.9157921,-0.20322563,0.6552079,-0.9596683,-0.19034384,-1.0322474,-1.5778887
0.32005915,-0.913124,0.30397743,-0.047636736,-2.0056255,-1.1811718,-1.5430255,-0.8730568,-1.1957572,0.7644306,-4.444287,0.011609127,0.050109424,-0.7424505,1.1989701,0.0,-0.7728467,1.2036144,-1.1957572,0.7644306,-2.0056255,-1.1811718,-1.5430255,-0.8730568
-0.8085358,-0.12001567,0.16300254,1.8249887,0.24426155,1.7417147,-0.0024493737,-2.4798298,0.36256337,0.3802478,1.3139802,0.78817844,0.3538829,0.0703921,1.6585104,1.0,1.6641233,0.063947365,0.36256337,0.3802478,0.24426155,1.7417147,-0.0024493737,-2.4798298
0.019258527,0.9791653,0.096862175,0.6762467,0.17137964,-0.9271694,-0.51946616,-0.9870279,0.63302463,-1.360774,0.8794044,0.7066988,0.28508437,-0.061343886,0.44486383,1.0,0.44453454,-0.033575673,0.63302463,-1.360774,0.17137964,-0.9271694,-0.51946616,-0.9870279
-0.1827753,0.20244296,-0.6426746,-0.074629806,0.5062605,-0.44580367,-0.5818674,0.5172654,-0.3974905,-2.226876,0.08973385,0.52241844,0.5285579,-0.08772274,0.19427049,0.0,-0.08983899,0.16402642,-0.3974905,-2.226876,0.5062605,-0.44580367,-0.5818674,0.5172654
1.0030072,-0.9006002,0.03778139,1.3585217,1.5768327,1.671238,-1.2189428,0.71905684,-0.18850647,1.4910063,6.441478,0.9984085,0.9454944,0.53086185,1.3683017,1.0,1.3635678,0.5289812,-0.18850647,1.4910063,1.5768327,1.671238,-1.2189428,0.71905684
0.4322761,-0.107857324,-0.8578165,-0.095951036,-0.96842027,-0.58905256,1.2849323,-0.6763355,-1.6367965,0.49598947,-0.28528175,0.42915937,0.5252249,-0.1972781,0.5421066,0.0,-0.20731877,0.5282246,-1.6367965,0.49598947,-0.96842027,-0.58905256,1.2849323,-0.6763355
0.27209917,0.07455097,0.39021412,0.7563934,1.7623234,0.94872767,0.7674065,0.55002743,-0.05816747,0.6176895,6.005252,0.9975403,0.94434,0.69021785,0.7126631,1.0,0.70389,0.6895631,-0.05816747,0.6176895,1.7623234,0.94872767,0.7674065,0.55002743
-0.0048493133,-0.21796171,0.14022343,1.3986828,-0.44851705,1.1750214,1.327591,-0.7057549,-0.52956873,0.670622,3.6899514,0.97563523,0.81579506,0.33305445,0.73324215,1.0,0.74432045,0.3184585,-0.52956873,0.670622,-0.44851705,1.1750214,1.327591,-0.7057549
-1.0779923,-0.8867485,0.31701374,0.7161055,-0.059207764,1.1431429,-0.5731419,0.7945663,1.0977755,0.4422212,0.81426334,0.69301724,0.7618923,0.046717264,0.6039755,1.0,0.60460323,0.039912447,1.0977755,0.4422212,-0.059207764,1.1431429,-0.5731419,0.7945663
-0.5948492,-0.4029559,-0.0543945,1.2061197,0.03236205,0.6265893,0.7593682,-0.010074735,0.28158057,1.3099908,2.3921034,0.91622317,0.82517886,0.1952706,0.36803818,1.0,0.3819231,0.20710352,0.28158057,1.3099908,0.03236205,0.6265893,0.7593682,-0.010074735
1.7716893,-0.87402,-0.35746634,-0.21629964,0.98367214,0.70844454,-0.74247015,0.8237282,1.5918671,-0.945177,2.993548,0.9522818,0.8820474,0.26215976,0.8470821,1.0,0.8693753,0.25122833,1.5918671,-0.945177,0.98367214,0.70844454,-0.74247015,0.8237282
-0.3591105,0.048738644,-1.4297379,-1.0286427,0.016807519,0.4947805,-0.8080173,-1.9816585,0.9891133,1.3609776,-4.3568306,0.012656709,0.18856712,-0.630855,1.007318,0.0,-0.6151451,1.0239632,0.9891133,1.3609776,0.016807519,0.4947805,-0.8080173,-1.9816585
-1.8245729,1.6669014,-0.43417305,1.2085632,2.1269882,0.29145786,0.5802737,0.088837855,-0.4637403,0.94338053,2.9928617,0.9522506,0.858098,0.46303454,1.5887992,1.0,1.584734,0.46137804,-0.4637403,0.94338053,2.1269882,0.29145786,0.5802737,0.088837855
-1.5434812,-1.7724371,1.1597373,0.39794174,0.44949448,0.044195317,-0.46648106,0.8954197,0.24030668,-0.47307083,-0.7485017,0.32114786,0.6835365,-0.10445134,1.0313244,0.0,-0.111057945,1.0142572,0.24030668,-0.47307083,0.44949448,0.044195317,-0.46648106,0.8954197
1.0104704,0.08454589,1.301947,0.5445017,-0.31304747,0.00044464014,0.11744286,-0.17828657,0.2667244,0.21281132,2.4846158,0.92305624,0.34625027,0.3210023,0.39541554,1.0,0.4129442,0.32345134,0.2667244,0.21281132,-0.31304747,0.00044464014,0.11744286,-0.17828657
0.5714103,-0.4922509,-0.41220433,-1.4652975,-1.7732266,-0.1198023,-2.1375396,0.04282221,0.7084385,-0.538242,-6.977828,0.0009314574,0.032730445,-0.7232611,1.3269281,1.0,1.3312907,-0.7257793,0.7084385,-0.538242,-1.7732266,-0.1198023,-2.1375396,0.04282221
-0.55487096,-0.19945876,0.14566605,-0.23907766,-0.44560313,0.09222626,-1.742454,0.3988246,-0.72903794,0.10496396,-2.2102056,0.098837756,0.2624678,-0.31809345,0.47853968,0.0,-0.31574532,0.48141235,-0.72903794,0.10496396,-0.44560313,0.09222626,-1.742454,0.3988246
