u0,u1,u2,u3,x0,x1,x2,x3,v0,v1,z0,p0,s0,m0,m1,t0,y0,f0,c0,c1,c2,c3,c4,c5
0.5540043,-0.20443888,-0.68741685,0.9073649,-0.1445783,0.42957538,-0.97824407,0.67530316,-0.8837422,0.26972377,0.7952063,0.68894815,0.46637928,0.068946205,0.40787533,1.0,0.4113018,0.07037107,-0.8837422,0.26972377,-0.1445783,0.42957538,-0.97824407,0.67530316
0.042260088,-2.1146877,-2.2065756,0.4967231,1.1733235,-0.28577024,1.7480232,0.9930298,0.8945242,0.44267988,0.7693876,0.6833884,0.9120254,-0.019209243,1.8861806,1.0,1.8762207,-0.020421956,0.8945242,0.44267988,1.1733235,-0.28577024,1.7480232,0.9930298
0.15589942,0.89153564,-0.8496783,0.59741986,-0.9672414,0.5370316,0.060287297,2.4371254,0.33005968,0.19103764,2.6457255,0.93374705,0.78430706,0.35779744,1.1331472,1.0,1.1424716,0.35990864,0.33005968,0.19103764,-0.9672414,0.5370316,0.060287297,2.4371254
0.55535483,-1.7154224,1.4117899,-0.8509787,-0.19911723,-0.59072185,-0.09509071,0.7184247,0.32655933,-0.4407177,-0.57044345,0.3611345,0.44754076,-0.09572018,0.86027306,0.0,-0.10212361,0.85207397,0.32655933,-0.4407177,-0.19911723,-0.59072185,-0.09509071,0.7184247
0.20161861,-0.836913,1.7338603,0.8243202,-0.30747655,-0.7693365,-0.8721515,-0.13888241,-1.2404939,-0.8142007,0.8428562,0.6990664,0.18980277,-0.020620111,0.7366507,0.0,-0.007271382,0.7337827,-1.2404939,-0.8142007,-0.30747655,-0.7693365,-0.8721515,-0.13888241
0.9663337,-0.5961896,-2.799569,-0.28237444,-0.7551635,0.2151382,0.33042303,1.0601847,0.41740435,-0.2561861,-2.2315407,0.09695367,0.64989567,-0.23265208,1.3820363,0.0,-0.24218866,1.3682173,0.41740435,-0.2561861,-0.7551635,0.2151382,0.33042303,1.0601847
0.4843418,0.22355944,0.7389415,-0.46894497,0.66881275,-0.90098506,0.7787947,0.6107734,0.57682437,-0.9943804,3.417003,0.96823174,0.72104657,0.2669117,0.41114497,1.0,0.4107616,0.2644408,0.57682437,-0.9943804,0.66881275,-0.90098506,0.7787947,0.6107734
-2.6716638,-0.11752283,-1.0728164,1.0004991,0.0702898,0.23284435,1.0191157,0.7245565,-2.0574012,0.0043688244,-0.95829463,0.27721977,0.8294028,-0.101837195,1.3657836,0.0,-0.110503204,1.3739022,-2.0574012,0.0043688244,0.0702898,0.23284435,1.0191157,0.7245565
-1.5191509,-1.3984717,0.956692,-0.62795275,0.8513163,0.3378808,-1.050944,-0.39544487,2.1337132,-0.19204067,-1.0944972,0.2507724,0.46446568,-0.35575938,0.95911115,1.0,0.9604029,-0.3401439,2.1337132,-0.19204067,0.8513163,0.3378808,-1.050944,-0.39544487
1.8518395,0.47955132,-0.054096423,1.5350099,-0.07221096,-0.873622,-0.66166997,-2.1909833,0.4300375,-0.40796837,0.33917484,0.5839901,0.055837188,0.0017272652,1.5031382,0.0,-0.012258825,1.5168092,0.4300375,-0.40796837,-0.07221096,-0.873622,-0.66166997,-2.1909833
