u0,u1,u2,u3,x0,x1,x2,x3,v0,v1,z0,p0,s0,m0,m1,t0,y0,f0,c0,c1,c2,c3,c4,c5
-0.44185922,-0.43012393,-0.053269085,0.030851677,0.82532257,0.29698247,2.0967324,-0.09979004,-0.51526856,-1.1011106,1.4725735,0.81344825,0.839986,0.27810585,0.6949545,1.0,0.68546295,0.28007886,-0.51526856,-1.1011106,0.82532257,0.29698247,2.0967324,-0.09979004
1.8679268,-0.5922378,-0.56113625,0.737553,-0.0130005665,-0.72317857,0.3164868,-0.13291484,-0.42891937,0.33997947,0.659209,0.65908265,0.29505673,0.11243734,0.66746765,1.0,0.6633707,0.11116966,-0.42891937,0.33997947,-0.0130005665,-0.72317857,0.3164868,-0.13291484
-1.5848019,-1.9129225,-0.8030255,-1.3245304,-1.0838485,-1.213179,0.30385268,-0.37020266,1.027037,-0.23978968,-8.810903,0.00014907641,0.076616205,-0.9985822,1.4307508,0.0,-0.99910605,1.418429,1.027037,-0.23978968,-1.0838485,-1.213179,0.30385268,-0.37020266
-0.83416957,0.72523654,-1.13086,-0.08034124,-3.0200999,-0.8792415,0.3147893,0.07168258,-1.0759757,-0.44150105,-1.1952637,0.23231885,0.483637,-0.6041255,1.5631757,1.0,1.5657861,-0.6097698,-1.0759757,-0.44150105,-3.0200999,-0.8792415,0.3147893,0.07168258
0.7410416,-0.16610146,0.51142085,0.33470425,-1.8279682,0.43957347,-0.7954252,-1.2966806,-0.37488517,-1.0931494,-1.8546766,0.13532475,0.103904314,-0.25742942,0.84988564,0.0,-0.24153663,0.8660117,-0.37488517,-1.0931494,-1.8279682,0.43957347,-0.7954252,-1.2966806
-0.722082,-1.5753762,0.5208227,-0.48769873,-0.68211526,1.0191981,1.1757857,1.157298,-0.48739213,-0.7755158,-0.052114304,0.48697436,0.87180763,0.050729033,0.9672719,1.0,0.9713742,0.065100275,-0.48739213,-0.7755158,-0.68211526,1.0191981,1.1757857,1.157298
-0.0909132,-0.9766792,1.1975886,1.6092322,0.8517438,1.0509148,-2.358563,0.9064456,-0.92741513,-1.717953,-0.4055726,0.3999742,0.30687064,0.27372122,1.6500458,0.0,0.26342288,1.6527342,-0.92741513,-1.717953,0.8517438,1.0509148,-2.358563,0.9064456
1.2320321,1.6919016,-0.42369485,-0.022024816,1.1544093,-0.5693672,0.33410722,-1.5787579,-1.3012863,0.59053785,-0.01984441,0.49503905,0.17420281,0.2273257,1.1026726,1.0,1.1027282,0.22162266,-1.3012863,0.59053785,1.1544093,-0.5693672,0.33410722,-1.5787579
1.2578408,1.0442578,-1.5125474,-0.05906834,0.7928036,-0.89769435,-0.51433164,1.0046376,-0.81422704,-1.8162997,2.100858,0.89098656,0.6802925,0.13948727,0.95901906,1.0,0.9647636,0.1250084,-0.81422704,-1.8162997,0.7928036,-0.89769435,-0.51433164,1.0046376
0.6530643,0.14310071,-0.37236655,-1.5042647,0.401329,1.3317164,1.7992655,-0.36720702,0.82582295,0.1257062,2.5834696,0.9297901,0.90914774,0.26057974,1.0193963,1.0,1.0337088,0.25814623,0.82582295,0.1257062,0.401329,1.3317164,1.7992655,-0.36720702
-0.76967984,-0.06833596,0.569617,0.70155644,1.4216516,-0.4194782,0.5267645,1.6189358,0.69849825,-0.7171221,4.87487,0.9924218,0.9390453,0.44762892,0.8136514,1.0,0.7852992,0.45138878,0.69849825,-0.7171221,1.4216516,-0.4194782,0.5267645,1.6189358
-1.7177433,0.6132674,1.4915625,0.19089624,-0.63852745,2.9162512,0.6190048,-0.64728135,3.56055,1.0053769,3.485853,0.97028255,0.8694288,0.35342875,1.9127897,1.0,1.8958397,0.34060037,3.56055,1.0053769,-0.63852745,2.9162512,0.6190048,-0.64728135
-0.40282878,0.81609416,0.7756098,0.5581569,0.07756945,0.29671976,-0.3920791,1.5014215,2.7543294,-0.79253674,3.2091541,0.9611773,0.7597029,0.40383297,0.5304303,1.0,0.5242205,0.407545,2.7543294,-0.79253674,0.07756945,0.29671976,-0.3920791,1.5014215
-0.35874358,-1.6404607,0.03426823,1.0744252,-1.4180702,-0.8912035,1.0063373,-0.9581947,-0.7011486,-1.2055613,-1.0829637,0.25294557,0.5063892,-0.39395526,1.0889238,1.0,1.0855366,-0.38993013,-0.7011486,-1.2055613,-1.4180702,-0.8912035,1.0063373,-0.9581947
0.546091,-0.88659704,1.6192594,1.825804,0.6397858,0.106272064,-1.0834831,-1.6396711,0.75212914,-1.4571815,1.453805,0.81058335,0.24323411,0.14093263,1.4153634,1.0,1.3977133,0.13276108,0.75212914,-1.4571815,0.6397858,0.106272064,-1.0834831,-1.6396711
-2.4694805,-2.4377592,0.21989022,1.212527,1.0113614,1.8853724,0.8233532,0.5043907,-0.6116454,-0.4863429,-0.7858767,0.3130547,0.8330076,0.09370692,2.3836722,0.0,0.08429259,2.3776581,-0.6116454,-0.4863429,1.0113614,1.8853724,0.8233532,0.5043907
-0.480289,0.057758603,-0.085256755,-0.13660733,0.30007634,-0.78412235,-0.7305716,0.10985426,-2.1110146,0.64604217,-2.8891997,0.052690055,0.17477266,-0.21864474,0.18883006,0.0,-0.22191799,0.20511043,-2.1110146,0.64604217,0.30007634,-0.78412235,-0.7305716,0.10985426
0.08138195,-1.5663519,0.8593975,0.35462993,0.23784643,-1.0164269,0.74777263,1.1659806,0.6125514,-2.5179315,3.5692165,0.9725943,0.9412729,0.10802877,0.7915971,1.0,0.7910512,0.09790462,0.6125514,-2.5179315,0.23784643,-1.0164269,0.74777263,1.1659806
