u0,u1,u2,u3,x0,x1,x2,x3,v0,v1,z0,p0,s0,m0,m1,t0,y0,f0,c0,c1,c2,c3,c4,c5
0.71787655,0.35970435,-0.36714804,-1.4148018,0.5793721,-0.17063114,0.99208087,1.5245204,-1.7905126,0.15066405,1.1578922,0.7609495,0.52928203,0.27762166,0.8067962,1.0,0.80861217,0.26907647,-1.7905126,0.15066405,0.5793721,-0.17063114,0.99208087,1.5245204
-0.5692585,-1.1711179,-0.17176366,-0.2003006,-0.38899714,-1.7587715,0.82233596,1.2459449,-1.1897249,-1.2458155,0.46197593,0.61348283,0.5012672,-0.27399108,0.90480083,1.0,0.91308665,-0.2827686,-1.1897249,-1.2458155,-0.38899714,-1.7587715,0.82233596,1.2459449
-0.8656019,0.35474557,-1.0159578,-2.6515596,-0.24251431,-0.44461703,0.873388,-1.8705893,-0.0095106475,1.0393169,-6.322498,0.0017922351,0.483809,-0.7328383,1.6820573,0.0,-0.73529613,1.6871588,-0.0095106475,1.0393169,-0.24251431,-0.44461703,0.873388,-1.8705893
0.21022089,0.52376354,0.13216901,0.31103832,1.7851214,-0.03659369,0.5429064,0.63881695,-1.3670754,0.856164,1.635717,0.8369513,0.5121485,0.51343036,0.54044586,0.0,0.5123128,0.5562334,-1.3670754,0.856164,1.7851214,-0.03659369,0.5429064,0.63881695
-2.276958,1.3311318,0.010034488,0.15002427,0.4630448,-1.1140441,-0.00081651093,-0.108942494,-0.8315139,-0.11956629,-1.7983518,0.14205182,0.49605972,-0.19331571,1.055804,0.0,-0.1967627,1.0416209,-0.8315139,-0.11956629,0.4630448,-1.1140441,-0.00081651093,-0.108942494
-0.31055045,-0.60350776,-0.37227568,1.5261574,0.42288554,1.1267045,0.04069363,-0.32496104,-0.7530768,-0.5352739,0.5835853,0.64189196,0.49711588,0.18814327,0.56049496,0.0,0.18954986,0.56051564,-0.7530768,-0.5352739,0.42288554,1.1267045,0.04069363,-0.32496104
-0.35566312,-1.4155507,-1.9614055,0.18257509,-0.23590246,0.5738245,-0.6850948,-0.9840378,0.39317396,-0.80373216,-5.435207,0.0043414035,0.4781687,-0.61015683,0.9791669,0.0,-0.60685277,0.97867125,0.39317396,-0.80373216,-0.23590246,0.5738245,-0.6850948,-0.9840378
0.9735661,-0.0031240094,1.8872052,-0.8412184,-0.62596244,1.1617118,-0.99396706,0.64323676,-0.41612506,0.64492196,3.2111402,0.9612514,0.47779423,0.275181,1.04502,1.0,1.0485315,0.27244586,-0.41612506,0.64492196,-0.62596244,1.1617118,-0.99396706,0.64323676
1.0322133,0.6526794,-0.15357305,-0.69686896,-1.7523142,0.3273005,-1.5300825,-0.05046386,1.3695539,0.8653622,-4.2877645,0.013549483,0.54054284,-0.27138868,0.9402619,0.0,-0.2792677,0.96136093,1.3695539,0.8653622,-1.7523142,0.3273005,-1.5300825,-0.05046386
0.17968954,-1.8080986,0.57539725,-0.052350946,0.078299776,-0.039875746,-1.1349499,0.6321815,1.1164565,0.24036966,-1.4918737,0.18364066,0.533649,-0.1962134,0.66635215,0.0,-0.19942579,0.6658227,1.1164565,0.24036966,0.078299776,-0.039875746,-1.1349499,0.6321815
