u0,u1,u2,x0,x1,x2,x3,x4,v0,v1,v2,v3,v4,z0,p0,s0,m0,m1,t0,y0,f0,c0,c1,c2,c3,c4,c5,c6,c7,c8,c9
1.0,0.0,0.0,0.25,1.0,0.125,1.0,1.0,-0.5992401,0.7664359,0.0029540649,0.27484116,-1.0518745,4.214962,0.90158504,0.74339926,1.0,1.0,1.0,1.0,1.0,-0.5992401,0.7664359,0.0029540649,0.27484116,-1.0518745,0.25,1.0,0.125,1.0,1.0
0.0,0.0,0.0,0.25,1.0,0.25,1.0,0.0,0.068667196,1.1042534,1.2469661,1.3014629,-1.0766853,5.2346244,0.96211666,0.9158407,0.0,0.0,1.0,0.0,0.0,0.068667196,1.1042534,1.2469661,1.3014629,-1.0766853,0.25,1.0,0.25,1.0,0.0
0.0,0.0,0.0,0.5,0.6,0.125,0.0,0.0,0.81599927,0.370386,0.3770467,-1.614314,-0.29906225,1.9023621,0.4756099,0.39683944,0.0,0.0,0.0,0.0,0.0,0.81599927,0.370386,0.3770467,-1.614314,-0.29906225,0.5,0.6,0.125,0.0,0.0
0.0,0.0,0.0,0.5,0.4,0.25,0.0,0.0,0.15826382,-0.56528264,-1.885305,-0.85191894,-0.7646446,0.53169256,0.18720001,0.17616695,0.0,0.0,1.0,0.0,0.0,0.15826382,-0.56528264,-1.885305,-0.85191894,-0.7646446,0.5,0.4,0.25,0.0,0.0
0.0,0.0,0.0,0.25,0.6,0.125,0.0,0.0,-0.36586642,-0.25526106,-0.96603423,-1.6437683,0.92837965,0.6096225,0.1993475,0.11829562,0.0,0.0,0.0,0.0,0.0,-0.36586642,-0.25526106,-0.96603423,-1.6437683,0.92837965,0.25,0.6,0.125,0.0,0.0
0.0,0.0,0.0,0.25,0.8,0.125,1.0,0.0,-0.29966927,0.4821195,-0.20164008,-0.20330392,-0.6400543,2.2572694,0.5639649,0.61203134,0.0,0.0,1.0,0.0,0.0,-0.29966927,0.4821195,-0.20164008,-0.20330392,-0.6400543,0.25,0.8,0.125,1.0,0.0
0.0,0.0,0.0,0.25,0.6,0.25,1.0,0.0,0.8173595,1.1749742,0.006332725,-0.44649193,1.2899792,2.5644157,0.63747364,0.83722645,0.0,0.0,0.0,0.0,0.0,0.8173595,1.1749742,0.006332725,-0.44649193,1.2899792,0.25,0.6,0.25,1.0,0.0
0.0,0.0,0.0,0.25,0.6,0.125,1.0,0.0,1.0270396,-0.54616505,1.7311478,1.0805808,0.2665669,3.201035,0.7687089,0.7576602,0.0,0.0,1.0,0.0,0.0,1.0270396,-0.54616505,1.7311478,1.0805808,0.2665669,0.25,0.6,0.125,1.0,0.0
0.0,1.0,0.0,0.5,0.8,0.125,1.0,0.0,0.5245804,1.7795346,-2.370599,1.4817475,-0.974529,6.2963405,0.98656464,0.91934955,0.0,0.0,1.0,0.0,0.0,0.5245804,1.7795346,-2.370599,1.4817475,-0.974529,0.5,0.8,0.125,1.0,0.0
0.0,0.0,0.0,0.25,0.4,0.125,1.0,0.0,-0.48861873,-0.05648777,0.95467347,-0.22710998,0.5957671,1.5224744,0.38283658,0.5258216,0.0,0.0,0.0,0.0,0.0,-0.48861873,-0.05648777,0.95467347,-0.22710998,0.5957671,0.25,0.4,0.125,1.0,0.0
