x0,x1,x2,x3,x4,x5,x6,x7,v0,v1,v2,v3,v4,z0,p0,s0,m0,m1,t0,y0,f0,c0,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12
0.25,1.0,0.125,0.0,0.0,1.0,0.0,0.0,1.376394,-1.2703081,-0.6157451,1.0826052,1.1080475,1.3718222,0.34792385,0.65016294,1.0,1.0,1.0,1.0,1.0,1.376394,-1.2703081,-0.6157451,1.0826052,1.1080475,0.25,1.0,0.125,0.0,0.0,1.0,0.0,0.0
0.25,0.8,0.25,0.0,0.0,0.0,0.0,0.0,-0.99819225,-1.4587119,0.056337588,0.7652311,-0.67210233,-0.10243318,0.10886055,0.17419538,0.0,0.0,0.0,0.0,0.0,-0.99819225,-1.4587119,0.056337588,0.7652311,-0.67210233,0.25,0.8,0.25,0.0,0.0,0.0,0.0,0.0
0.25,0.4,0.125,1.0,0.0,0.0,0.0,0.0,0.47177744,0.24322392,0.4218919,-0.32540423,1.5999125,1.7175663,0.4298572,0.77110296,0.0,0.0,1.0,0.0,0.0,0.47177744,0.24322392,0.4218919,-0.32540423,1.5999125,0.25,0.4,0.125,1.0,0.0,0.0,0.0,0.0
0.5,0.6,0.25,0.0,0.0,0.0,0.0,0.0,1.4872782,-1.2149291,0.19955367,2.2311938,0.15488175,1.4145701,0.35768414,0.42300364,0.0,0.0,0.0,0.0,0.0,1.4872782,-1.2149291,0.19955367,2.2311938,0.15488175,0.5,0.6,0.25,0.0,0.0,0.0,0.0,0.0
0.25,0.6,0.125,0.0,0.0,0.0,0.0,0.0,-2.3556986,0.6564809,-0.5526583,-0.37319174,0.101817116,0.7108816,0.21600206,0.18922614,0.0,0.0,1.0,0.0,0.0,-2.3556986,0.6564809,-0.5526583,-0.37319174,0.101817116,0.25,0.6,0.125,0.0,0.0,0.0,0.0,0.0
0.25,1.0,0.125,1.0,0.0,0.0,0.0,0.0,1.1532214,1.8880188,-0.53827524,0.018028917,-0.0030589954,4.5020685,0.9242867,0.9011132,0.0,0.0,1.0,0.0,0.0,1.1532214,1.8880188,-0.53827524,0.018028917,-0.0030589954,0.25,1.0,0.125,1.0,0.0,0.0,0.0,0.0
0.25,0.6,0.25,0.0,0.0,0.0,0.0,0.0,-1.9128613,-0.6209399,0.12048435,-2.4837704,-0.33472443,0.27934182,0.1517864,0.06619453,0.0,0.0,0.0,0.0,0.0,-1.9128613,-0.6209399,0.12048435,-2.4837704,-0.33472443,0.25,0.6,0.25,0.0,0.0,0.0,0.0,0.0
0.25,0.6,0.125,1.0,0.0,0.0,0.0,0.0,0.72432214,1.2174822,0.26084533,0.4412549,-1.1688877,3.3604305,0.79582965,0.79453844,0.0,0.0,1.0,0.0,0.0,0.72432214,1.2174822,0.26084533,0.4412549,-1.1688877,0.25,0.6,0.125,1.0,0.0,0.0,0.0,0.0
0.25,1.0,0.125,1.0,0.0,0.0,0.0,0.0,0.6821403,0.80858755,3.203497,0.26329255,-0.091550454,4.0178523,0.8826587,0.9193867,0.0,0.0,1.0,0.0,0.0,0.6821403,0.80858755,3.203497,0.26329255,-0.091550454,0.25,1.0,0.125,1.0,0.0,0.0,0.0,0.0
0.5,0.6,0.25,0.0,1.0,0.0,0.0,0.0,0.52516204,-1.4290079,0.8873317,0.88974744,-1.2168725,0.7601368,0.2244598,0.42371708,0.0,0.0,0.0,0.0,0.0,0.52516204,-1.4290079,0.8873317,0.88974744,-1.2168725,0.5,0.6,0.25,0.0,1.0,0.0,0.0,0.0
0.25,0.6,0.125,1.0,0.0,0.0,0.0,0.0,0.28616446,-0.43743268,-0.15809377,-1.630542,1.5969983,0.1337778,0.13397945,0.24117023,0.0,0.0,0.0,0.0,0.0,0.28616446,-0.43743268,-0.15809377,-1.630542,1.5969983,0.25,0.6,0.125,1.0,0.0,0.0,0.0,0.0
